Nombre;Referencia;Precio final;Cantidad
TPU GENERICO;MOV-AAA-01;70;163
SILICONA GENERICO;MOV-AAA-02;70;84
FLIP COVER GENERICO;MOV-AAA-03;200;45
FLIP COVER EJECUTIVO;MOV-AAA-04;230;12
FILM GENERICO;MOV-AAA-05;30;107
;MOV-AAA-06;;
;MOV-AAA-01;;
;MOV-AAA-02;;
;MOV-AAA-03;;
;MOV-AAA-04;;
;MOV-AAA-05;;
;MOV-AAA-06;;
;MOV-AAA-01;;
;MOV-AAA-02;;
;MOV-AAA-03;;
;MOV-AAA-04;;
;MOV-AAA-05;;
;MOV-AAA-06;;
;MOV-AAA-01;;
;MOV-AAA-02;;
;MOV-AAA-03;;
;MOV-AAA-04;;
;MOV-AAA-05;;
;MOV-AAA-06;;
;MOV-AAA-01;;
;MOV-AAA-02;;
;MOV-AAA-03;;
;MOV-AAA-04;;
;MOV-AAA-05;;
;MOV-AAA-06;;
